"Name","KEGG.ID","Condition","Norm_Av","Norm_Std","CV","Av","FC1","FC2","FC3","Sig","ANOVA"
"13BPG","C00236","HPLM-400",0.0245885477037085,2.4532694666934e-18,9.97728493872533e-17,0.0245885477037085,0.0245885477037085,0.0245885477037085,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","HPLM-6k",0.0245885477037085,NA,NA,0.0245885477037085,NA,NA,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","HPLM-60k",NA,NA,NA,NA,0,0,0,"***",1.80257489373484e-11
"13BPG","C00236","HG-HPLM-400",0.0245885477037085,1.96261557335472e-17,7.98182795098026e-16,0.0245885477037085,0.0245885477037085,NA,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","HG-HPLM-6k",0.0245885477037085,1.73472347597681e-17,7.05500583800309e-16,0.0245885477037085,0.0245885477037085,NA,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","HG-HPLM-60k",12.4772997992558,21.5687285796729,1.72863751987103,12.4772997992558,0.0245885477037085,37.3827223023601,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","400",NA,NA,NA,NA,0,0,0,"***",1.80257489373484e-11
"13BPG","C00236","6k",0.0245885477037085,NA,NA,0.0245885477037085,0.0245885477037085,NA,NA,"***",1.80257489373484e-11
"13BPG","C00236","60k",NA,NA,NA,NA,0,0,0,"***",1.80257489373484e-11
"13BPG","C00236","HG-400",0.0245885477037085,NA,NA,0.0245885477037085,NA,NA,0.0245885477037085,"***",1.80257489373484e-11
"13BPG","C00236","HG-6k",100,0,0,100,100,100,100,"***",1.80257489373484e-11
"13BPG","C00236","HG-60k",100,0,0,100,100,100,100,"***",1.80257489373484e-11
"2-AB","C02356","HPLM-400",0.000545413362030297,0.000155603752049803,0.285295086043674,0.000545413362030297,0.000368984520370644,0.000604179938712352,0.000663075627007895,"***",8.14384278373055e-07
