"","Name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"13BPG","13BPG",0.127392090007271,0.156555027221693,0.0443333156856302,-0.184173763331618,0.0258366692962589,0.133179355773159,0.0169567159425525,-0.0354844987566043,-0.0131743081591938,-0.0137063359033085,0.0122477331119024,-0.0803968580990753,0.0376485304666727,-0.0826949394368915,0.051551312221193,0.0282805232953068,-0.054148396500271,-0.0334667286276415,-0.106421110875547,0.0904267820233386,-0.00015555387241385,-0.00751432460088076,0.0890240223103705,0.0687716236974913,-0.00930295516880557,-0.108635034776088,0.02613980252063,0.031821856605191,-0.0375204090375106,-0.100667564604777,0.0336333167922091,0.0494059871687417,0.14876108895217,0.237815807325801,0.105428460428092,-0.10871699435911
"2-AB","2-AB",0.138446508351617,-0.13623635284074,0.0799654945492703,0.0553882905378835,-0.00108924702078903,0.0211225477168322,-0.0804194391210782,0.155822686056499,-0.0675011181560399,-0.0537282188473194,-0.0452667522402461,-0.188320401356295,-0.0257026432619255,0.178428928864318,0.0576255481551572,0.0517862312556738,0.0757809969904125,-0.0625378600652452,-0.159880306760189,0.211158830440826,0.0871881733291745,0.00870112831439613,-0.072537441553914,-0.00863950512455072,0.15746877837568,-0.0388775526966695,-0.167320148433937,0.130760056717405,0.0448790537458905,0.125059134289456,0.0617007763624005,0.0578934124262776,-0.00849101832137547,-0.0716954761830556,0.0833489840532534,0.0450615171625109
"2-HG","2-HG",0.113776923056531,0.0686260602035606,-0.0186600041458785,-0.0446920911615206,-0.025233765766591,-0.253864736744681,-0.147041003394921,0.131750698798457,-0.146747329322153,0.0233282208027949,0.033631728992274,0.281515330371985,0.0250241361477307,0.0580197865490397,-0.0633061688940507,-0.160614754069184,-0.448592975999293,0.0177810110865193,-0.0256392060573953,0.117469881503337,-0.135990451518933,0.035707547408482,0.268731617468985,0.0713802826580258,0.115770822318658,-0.214435127965246,0.167531666148009,-0.179718037334611,0.234638961853256,-0.0637560245162427,-0.124744616128341,-0.0149062482853543,0.0556446823031367,0.0833155991251488,-0.0755816249758247,-0.0333989900553271
"3PG","3PG",0.103340909867692,0.0755325886262318,-0.151407536367395,0.155826312391363,-0.27793670451977,-0.0443484270181663,-0.035300061539908,-0.0377251379798003,-0.040137259054957,-0.0719589676867957,0.125004271529478,-0.0533481706816597,0.0959695695119173,0.00502185524562677,-0.183609820782964,0.0236695370586085,-0.0464704894457393,0.0464133292541795,-0.0420196608451861,0.0694168284639205,0.0560266248346807,-0.104252443474272,-0.053974017236983,0.312856208286785,0.134369520370921,0.0758303083972799,-0.0492524662905417,0.0674167016057161,0.106162600977865,-0.213449987138823,-0.0232219363327059,0.00682618896276071,0.0732734452769343,0.00261374432782457,0.249144248586608,-0.047637911647354
"5-Oxoproline","5-Oxoproline",-0.151916607453172,0.115996167949,0.0229479940110429,-0.0772160970485977,-0.0546625339161662,-0.117412499875674,0.0142508330611873,-0.0357892788967798,-0.0639203165210698,0.0896511158061469,0.0837009031718657,-0.129112231469752,-0.0665195329587856,0.10383543650068,0.0255615102730708,0.0117730657926883,-0.0489701071778199,-0.225471653276596,-0.0712163890890017,0.131662268330059,0.0414496023888311,-0.115226423955649,-0.0447107680214853,0.0568945394688634,0.0891711242451337,0.119349082438045,0.115039299064074,-0.00355547048846368,0.0374530627423908,-0.0881773785381346,0.0029452826870636,-0.192187011374534,0.200744300596735,0.193784052335544,0.160055109414462,-0.0650442881974824
"5M-thioadenosine","5M-thioadenosine",0.0751415496850186,0.226249554597709,0.0936325209740495,0.145187669349555,0.00806342291522412,0.0289531962630964,-0.0614228954620863,0.047129167562844,0.0339505756384853,0.0268934373819554,-0.1175841995647,0.0486558712464908,-0.0421306158370014,0.0260256607682103,-0.0426719487689876,0.081885623252848,0.0533362541123759,0.0026881818185303,-0.0305846303846325,-0.050936276997326,-0.0702235067690631,-0.0768281805319351,0.0474326480163953,0.0475833692694108,0.112501204197692,-0.212787511722251,0.095431949728694,0.0822569101565182,0.0296927326254761,0.0129441947353043,0.131374736919608,-0.00257658378941881,-0.00392152533740003,-0.223664432943121,-0.0187470385485789,-0.0531796324239669
"6P-gluconate","6P-gluconate",0.111615170669434,-0.00478335916107103,0.0266789830947551,0.276810250166809,-0.0319075743114581,0.0573178861714601,-0.0912548477798745,0.156951172125596,-0.0561574178377723,0.0634634627967699,0.0884047737776786,-0.0346071122749916,0.00863570658975363,-0.0417752661602397,-0.0997711078096346,-0.0639349218023134,-0.188071834979188,0.265883633826635,-0.0274304408778141,0.138260521216448,0.254090688550095,-0.0295638222712665,0.3655012354571,-0.0747368418675368,-0.349373686641568,0.193155228925161,-0.128149802968492,0.116339546478192,-0.344356954528611,0.0691226547165551,-0.0235087207706682,-0.0432540286817868,0.131769607711603,-0.0202318088566256,0.122313966033296,-0.0182092387651627
"A","A",-0.0838777975799258,0.132426696051772,0.192498461287877,0.19674189229969,-0.0294040862747661,-0.0705923138376228,-0.0393817519566284,0.0773154102319383,0.0895354989131373,0.0167181563995638,0.0566974258845419,0.08496743400697,-0.114332139389081,0.0949764880739132,-0.0695600811957943,-0.147135831611109,0.102804169323801,0.0910557960525233,-0.0855630725751408,0.0510630506114686,-0.159581828739359,0.35582926549989,-0.11427427809106,0.0916209885356495,-0.0670903422738085,0.0106616772847415,0.182602665457959,-0.089747050637818,-0.126741713233334,-0.0910704978219919,-0.184558340394682,-0.216148892876688,-0.100367780294864,0.112776298346537,0.0910344844947942,0.105483000622331
"a-KG","a-KG",0.174019497738706,0.0414662185077673,0.0359416990315378,-0.0382045483687477,0.0925567020311167,-0.0190139402569825,0.00132968159174043,-0.00527652864487596,0.0262706511410605,0.0681200179655719,-0.0202804804652831,-0.00412304364371396,0.12405453284747,0.16538311718534,-0.0367591312000425,0.079376387006995,0.137065977526906,0.170444564622451,0.134566725172286,0.0391318068536539,-0.0159549447803477,0.0186494192881451,0.00874820533177694,0.00384615470573666,0.0593169078196621,-0.0103775089951034,-0.0621993544999179,-0.0520957385137119,-0.0477098268932553,0.189493535075462,-0.116216212451758,-0.14170487836222,0.161857454346563,0.106918873164441,-0.0214634139702266,0.00546787231124194
"Ac-carnitine","Ac-carnitine",0.173582293473245,-0.0421903119869772,0.139280138795962,0.038591543607171,-0.00395686117020697,0.00144875999916299,0.0171177313578367,0.0614779437245609,-0.0139494624632028,0.0123454392333082,0.0139467693535515,-0.0519725240865639,0.0334378884982021,0.0204707563924395,0.0721898596627486,0.0313444932765453,0.0212914052340785,0.0179294567127822,-0.00341713883940006,-0.0299827679678495,-0.0116841175363561,-0.0237587069808462,0.0449736223368286,-0.0660430357194926,0.0690517526030731,-0.0729734686224616,0.0491289994273326,-0.0519796595033182,-0.0392510744054832,0.00479947059198926,-0.000669955271227282,0.024359853479989,-0.0728818531865504,-0.0611623818554311,0.0305507998930476,-0.11428429840466
"Ac-choline","Ac-choline",0.185551192616624,-0.00767224237273214,-0.0373780027805711,-0.00329248877345284,0.0937023810833266,-0.00133943085774768,0.00225446037723064,0.0209674522997537,0.0147656566573371,0.0194418551304408,-0.00784369237421804,0.0534202493544041,0.00655834068978185,-0.00777423510227747,0.0243072464538514,0.0467361649540738,0.0363445181989074,-0.0193892061644511,0.0309358351501594,-0.0163326335918694,-0.00224320637076706,-0.0397607644388254,-0.0198725713091597,0.0408023553941144,0.0421159045166653,0.0811873881446194,0.023029550903791,-0.00708741266646418,-0.0671804581493407,-0.0262523503336808,-0.00888968015277723,-0.014797178290577,-0.0532748428948544,-0.0209314241307119,0.0702875531151194,-0.0397962901936584
"Acetyl-CoA","Acetyl-CoA",0.0147002946389758,0.0143731666465862,0.172856468215423,-0.00989247674062049,-0.382350336597968,0.134001793505623,0.0706846601649099,0.131885350887322,-0.0788545900336026,0.128565586504111,-0.0932400447356938,0.174994843023306,0.060025638645519,0.141388952928599,0.14928735905489,0.196613733803881,0.0357026264866052,-0.328016553052245,-0.0573316635778016,0.146231671725638,2.55620713390386e-05,0.0771765108482682,0.237746855504324,0.0232057364250459,-0.0279441391445202,-0.0384485788898644,0.147813706067003,-0.0380247331379042,-0.000984181919681924,0.157260314267686,-0.0422332972043687,0.0464529041160091,-0.00292441786244695,-0.0290130460109379,-0.0919533218132127,-0.059377292620994
"Adenine","Adenine",-0.149634531500233,0.0479445413838732,-0.0207818420982034,-0.0691713996727626,-0.0405886392384335,0.104196939113734,-0.188300368899206,0.0547482555244831,-0.0501922288841969,-0.0697627882422692,0.138705371279586,0.099981196972147,-0.00121849634376234,0.00567979208675627,-0.0644572283858467,0.115588682291659,0.0146044548659531,0.283215877608907,-0.228984794235509,0.0888567111675563,0.153247936096498,0.136900306509932,-0.280749398467255,-0.120114854590129,0.260836383417486,0.114947696172865,0.157197036856921,0.0526065027541847,0.0770348176428599,0.24129997739474,-0.186316244590753,0.182662175566539,0.236675909612064,0.0501876577464518,0.0457097931475221,0.0546800137633945
"ADP","ADP",0.0219235665689723,0.265982647781645,0.0847938966663926,-0.0112062363124878,0.0222678611256015,0.113697444792142,-0.0431453597164229,-0.0734086515489063,-0.0455783134800317,-0.0250702286344101,-0.0515878055238242,-0.0312800076066735,0.0165326544787763,-0.0482907164013456,0.0235506338936314,0.0438621069955164,0.0822775559379251,0.000433882974558412,0.0276159017719995,-0.0166092897281951,0.0393730434569318,-0.0837371309219609,0.046758893390131,-0.0739467500093558,-0.0677816407718184,-0.0193671783181614,0.168788397723512,-0.0312638516536978,0.0342945059704814,-0.0663136177009959,-0.0730930133632408,0.00721284423540444,0.0385301704328693,-0.179483624111777,-0.241679353775381,0.0768521466788353
"Ala","Ala",0.18099151196528,-0.0495647955513491,0.0445394113052508,-0.00400308086481916,0.0391922685112463,-0.0368584586584907,0.0467268788966389,0.0459505726260034,-0.0393393474528832,0.0246501370904207,0.067810047669774,-0.0741885260601006,0.0330243005264624,0.0619624235047655,-0.0247828792468228,0.0608633537985965,-0.0187814150766104,-0.0616401170615927,0.124164502737128,0.0298526922918272,-0.0116929964181816,-0.0441339802127069,-0.0683421317866983,-0.0437044481030815,-0.0335102207471842,-0.0362536588839896,0.0307490728044338,-0.0229969086278469,-0.0978954726686866,-0.0228381123950894,0.0140324102389361,-0.0229573210432064,-0.118912236594349,0.0815282375098931,0.125690594678178,-0.0236033793564037
