"","Name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"2-AB","2-AB",-0.130201459906513,-0.0487488224856079,-0.0246212129681001,-0.0136080183978817,0.00866176388019443,0.0319983305259017,-0.00207662655040058,0.00204116425711846,-0.0254531988378081,-0.0324010050439927,-0.0150304328318142,0.0122998025789097,-0.0195042497303898,0.0130842508127031,0.0222369713702976,0.0333978162766396,0.00386829218469577,0.0109260675297939,0.0227521433776612,-0.0341860225421119,0.0434388604742917,0.0348453305466634,0.000610289479392993,-0.020879112058856,-0.0209546997432032,-0.0354925763499064,-0.00531865411090249,0.0154067935582542,0.00231014537675572,-0.0150164255270133,-0.00271170627508044,0.0454684093564798,0.0382879001714705,0.0284007627920926,-0.054298891024188,-0.631438978377182
"2-HG","2-HG",0.0616288129665003,0.162634881605621,0.027854814187275,-0.0996662131088695,0.0192151824922048,0.000463654908081713,0.103897312445766,0.01338955015981,-0.0847456647843776,0.0759054564488604,0.0482478583254196,0.11120648221445,0.102699322595607,0.0205271711078987,-0.00226680859991399,0.0640533625379718,-0.0259696544619486,-0.05115078489881,-0.0129636962105899,0.0690623729675841,-0.0694306657972257,0.0435673138209421,0.0236889050946913,-0.00350132892594546,-0.0386580082045213,0.0734145494711169,-0.0597509728496165,-0.023548805848133,-0.0095070991892716,0.0232051486934633,-0.0404229498338132,-0.0932712382789429,0.272766659644886,0.218341547394018,-0.0530821433436046,0.113742841904963
"2-Oxoadipate","2-Oxoadipate",-0.0590294369249635,0.0979821304732547,-0.019235105763473,-0.098786549931852,0.15952165888138,-0.0862419198792293,0.234483754053381,0.173030354280695,0.0384079766065156,-0.0860907880078047,0.117524373730961,0.116821791624928,0.0764676090515785,0.0453545001966112,0.0948909947549081,-0.322351584958908,-0.0532441557859523,-0.0880830743024239,0.348092832168538,0.239503761557985,0.0330561513394661,-0.253552722179512,0.0805897379683973,0.0672208090351019,-0.132409096111037,0.091543739855283,0.208506521473665,0.0495090044813475,0.189157836071581,-0.0525817859917826,0.0426229994624098,-0.127733640554829,0.0975249437289135,0.0456978298157263,-0.0526479687416104,-0.0859393519202401
"3PG","3PG",-0.00354646721177355,0.105949990224532,-0.207912536760954,0.0583341859904829,-0.162470698689886,-0.115434023924781,0.0680081417643429,-0.0301444737802127,0.118907657623031,0.0725982973827417,0.0200250085402348,-0.103985516097737,0.0711512198057783,-0.0296436735268559,0.270449616228255,0.0871700379055669,-0.04566548951879,0.23577388337377,0.0700196613170885,-0.0666889987702495,-0.174519500663397,-0.182878904108957,-0.0707073203182192,-0.233132506781423,0.253654022197153,0.0601446599209171,0.193852979097537,-0.0428225688024227,-0.0469565436748237,-0.00244966386723212,-0.168712532383027,-0.103559694886783,-0.00222539365644196,-0.0998343615087445,0.0240730381058656,0.224613595588526
"5-Oxoproline","5-Oxoproline",0.1280490905161,-0.050492195947072,0.0201353939055092,0.0788191567723913,-0.00925261546048273,-0.000416063968674839,-0.0381993348251959,0.0237103716618785,0.0304295147308208,-0.00390362397979256,-0.00649893628980519,-0.0164713433963736,-0.000247077623899686,-0.0417243441243833,-0.0253060411394712,0.00291362523328521,0.00123898154864784,-0.00165188757278007,0.00853553691274427,0.0200488214390948,-0.00652465410535016,-0.0384962747517997,-0.00895584149795157,0.0119167205075472,-0.0136501224018521,-0.0289747693013116,0.00991802274188431,0.0512710369043599,-0.00778453851042528,-0.0105372700387895,0.012800952510914,0.00426550185173346,0.0365724125356322,0.00404090827708143,0.00235501579041681,0.0946236795018124
"5M-thioadenosine","5M-thioadenosine",-0.116064015440734,0.0309378860918239,0.101040183381916,0.121331913003906,0.0930547896474623,-0.0117311458952079,0.0773953759552796,-0.0273171837820661,-0.000343071897272495,-0.0331839714741514,-0.0174985445751201,0.0516322944134982,-0.0117862516911428,-0.0403800159921674,-0.0457774345154346,0.0323324864957819,0.0604997919570083,0.0286157173125427,0.0402475447246497,0.00985896066361482,-0.0046112868318834,-0.235110233820983,0.0620809036223013,0.0131137543279859,-0.0513724348452259,0.0564709650546129,-0.0731510908657077,0.0969800831918508,-0.114409535466172,-0.141232143331805,-0.162131007095714,-0.00544570375639279,0.141841498233969,-0.148155181128161,-0.0361017495305115,-0.00871534579891635
"6P-gluconate","6P-gluconate",0.0391310069241597,0.13065503023355,-0.22658310193,0.0317803314888807,-0.044923664957053,-0.0298533740342248,-0.0433838206922712,0.000711844532471708,0.0338913715835429,-0.0164688704343304,-0.0679813387080318,-0.0171819873844486,-0.050917984948461,-0.00080724042040038,0.0300435476228382,-0.0785775471845571,-0.132799571759746,-0.00427476924292567,0.013447880362066,-0.0963667729630509,0.0736780689856798,-0.0803903406274676,0.00742468025714029,0.093040192473329,-0.0771770830945961,-0.133159995125102,0.117763203994855,-0.0168185751926589,-0.0626673652810855,-0.0946840114737996,0.18950331677422,0.0347612131573509,-0.128640101196164,0.0860737603183862,0.0139452979284464,0.0884118567670533
"A","A",-0.0347919116252615,-0.147717887687609,0.0460063114979132,-0.0903288040959072,-0.0257465576937988,-0.0352782365299523,-0.192793487336392,0.0937310044351535,0.236375152274258,0.067375897308247,-0.145944094674935,-0.0584495830079324,0.172030584560657,-0.109862676565657,0.178048246831785,-0.190941411274618,-0.0680785265539587,0.143621247941536,-0.0499250018022326,-0.0569204240119176,0.0423413699599767,-0.114564248174623,-0.225513503517385,-0.158401360723684,0.00090968021464372,0.0272850909831138,-0.18720769611491,-0.127090092064739,0.0232444631335224,0.00744899346677925,-0.108830663368554,-0.00322377770453042,0.0389897795171573,0.113173133644953,-0.106610092327869,-0.137177727894079
"a-KG","a-KG",-0.113676950205392,-0.0765964438304077,-0.0824763687682345,-0.0733401793065523,0.0784414292455139,-0.018822109422366,-0.0466016796847173,-0.0277460341464088,-0.0076809303633168,-0.0564910358415359,0.0161296234808269,0.0711284797433916,0.0640003072765319,0.0401550924470179,0.0791562336210834,-0.0828264280256267,-0.0356117076713389,-0.0354834429637533,-0.00735831063245249,0.0919292986532821,-0.0158934035739234,-0.00695726833029654,0.0140053181937502,0.0278120983459486,-0.0227733246737713,-0.0360343901705987,-0.000370130528529586,-0.0154228735084101,-0.128136094038785,0.0794941923097857,0.218911293960614,0.0371495044250278,-0.09638956786723,0.0887103546332477,-0.0645991955638494,-0.0559911799321618
"Ac-carnitine","Ac-carnitine",-0.133437201020315,-0.0235645554575107,0.00449154734679085,0.027093468109046,-0.0337804375272186,0.00819641112988801,-0.0122474441985743,-0.0126129230559562,-0.0319563983708234,-0.010517653866128,0.00999386514093809,0.00159174484402267,-0.0201115902381773,-0.0170637152745663,0.0424288517973802,0.0142732884652075,-0.0126665307367552,0.00253499466458956,-0.0175943441780288,-0.026451071865542,0.0137391534620624,-0.0133271427986663,-0.0104384741401616,-0.0247479644037797,-0.0223023627377138,-0.00864766816628731,-0.00488807430200925,-0.00377270817774395,0.0403121163562571,0.023654501378765,0.0125904569389631,0.036005470641457,0.0941811777834539,-0.063749950817289,0.0298106812241882,0.132926639668596
