"Name","KEGG.ID","Condition","Av","Std","CV","Exp1","Exp2","Exp3","ANOVA","Sig","Av2","denom","Norm_Av","Norm_Std"
"13BPG","C00236","HPLM-400",111698.333333333,63047.1659738432,0.564441420855368,180723,97227,57145,0.0518112967477258,"",111698.333333333,94868,1.1774079071271,0.664577792025164
"13BPG","C00236","HPLM-6k",94868,NA,NA,NA,NA,94868,0.0518112967477258,"",94868,94868,1,NA
"13BPG","C00236","HPLM-60k",0,0,NA,0,0,0,0.0518112967477258,"",NA,94868,0,0
"13BPG","C00236","HG-HPLM-400",187015.5,80869.6812439619,0.432422345976467,244199,NA,129832,0.0518112967477258,"",187015.5,94868,1.97132331239196,0.852444251422628
"13BPG","C00236","HG-HPLM-6k",177473.5,134532.014868209,0.758040016499415,82345,NA,272602,0.0518112967477258,"",177473.5,94868,1.87074145127967,1.41809688059418
"13BPG","C00236","HG-HPLM-60k",186313.333333333,39288.0763633616,0.210870986313531,150115,228094,180731,0.0518112967477258,"",186313.333333333,94868,1.96392180011525,0.414134127032947
"13BPG","C00236","400",0,0,NA,0,0,0,0.0518112967477258,"",NA,94868,0,0
"13BPG","C00236","6k",163590,NA,NA,163590,NA,NA,0.0518112967477258,"",163590,94868,1.72439600286714,NA
"13BPG","C00236","60k",0,0,NA,0,0,0,0.0518112967477258,"",NA,94868,0,0
"13BPG","C00236","HG-400",310378,NA,NA,NA,NA,310378,0.0518112967477258,"",310378,94868,3.27168275920226,NA
"13BPG","C00236","HG-6k",201915.666666667,42983.0018069159,0.212876011636455,207784,156300,241663,0.0518112967477258,"",201915.666666667,94868,2.1283854056865,0.45308219638778
"13BPG","C00236","HG-60k",827967,674873.75589513,0.815097408344934,185117,767931,1530853,0.0518112967477258,"",827967,94868,8.72756883248303,7.11381873650894
"2-AB","C02356","HPLM-400",268691752.666667,19253718.4282805,0.071657273575368,257332753,290922250,257820255,1.53156520016351e-23,"***",268691752.666667,1930836,139.158246825037,9.97170056301025
"2-AB","C02356","HPLM-6k",222349457.333333,19100096.0211207,0.0859012486479197,243982063,207813417,215252892,1.53156520016351e-23,"***",222349457.333333,1930836,115.15709119435,9.892137924257
"2-AB","C02356","HPLM-60k",187112380,10763557.5221855,0.0575245610268305,187841130,176002966,197493044,1.53156520016351e-23,"***",187112380,1930836,96.907443200769,5.57455813035675
"2-AB","C02356","HG-HPLM-400",270874926.333333,14760137.3853302,0.0544906004595149,256948400,286347041,269329338,1.53156520016351e-23,"***",270874926.333333,1930836,140.288935121022,7.64442831257041
"2-AB","C02356","HG-HPLM-6k",200101088.333333,14654730.2950429,0.073236634628547,199950759,214830405,185522101,1.53156520016351e-23,"***",200101088.333333,1930836,103.63443002582,7.58983688673867
"2-AB","C02356","HG-HPLM-60k",180476839,10965256.2095325,0.0607571379811929,186983573,186630047,167816897,1.53156520016351e-23,"***",180476839,1930836,93.4708276622147,5.67901997348949
"2-AB","C02356","400",4413623.33333333,166407.147912382,0.0377030696424892,4596239,4374084,4270547,1.53156520016351e-23,"***",4413623.33333333,1930836,2.28586132293646,0.0861839886517456
"2-AB","C02356","6k",3176254,274248.779875135,0.0863434661948114,3435945,2889460,3203357,1.53156520016351e-23,"***",3176254,1930836,1.64501490546064,0.142036288879602
"2-AB","C02356","60k",1930836,515406.851497921,0.266934556584775,2067325,2364261,1360922,1.53156520016351e-23,"***",1930836,1930836,1,0.266934556584775
"2-AB","C02356","HG-400",16677825,1409281.53081739,0.0845003188855494,16022327,15715684,18295464,1.53156520016351e-23,"***",16677825,1930836,8.63761862737177,0.729881528424676
"2-AB","C02356","HG-6k",11076432.3333333,525507.784829429,0.0474437769323945,10849160,10702812,11677325,1.53156520016351e-23,"***",11076432.3333333,1930836,5.7365992416411,0.272165934770964
"2-AB","C02356","HG-60k",6322544,669504.346475062,0.105891607314249,5630092,6371081,6966459,1.53156520016351e-23,"***",6322544,1930836,3.27451114439548,0.346743248248459
"2-HG","C02630","HPLM-400",10914366.6666667,942378.655945864,0.0863429537165874,9960975,10936793,11845332,1.71522048740642e-15,"***",10914366.6666667,10914366.6666667,1,0.0863429537165874
"2-HG","C02630","HPLM-6k",21108419.3333333,2006302.05114891,0.0950474793714498,19935505,19964717,23425036,1.71522048740642e-15,"***",21108419.3333333,10914366.6666667,1.93400313348461,0.183822122934198
"2-HG","C02630","HPLM-60k",22085815.3333333,760108.449052064,0.0344161371260249,21913355,22917336,21426755,1.71522048740642e-15,"***",22085815.3333333,10914366.6666667,2.02355445880201,0.069642927736109
"2-HG","C02630","HG-HPLM-400",12517296.6666667,563757.455622835,0.04503827548676,13017801,12627522,11906567,1.71522048740642e-15,"***",12517296.6666667,10914366.6666667,1.14686422482905,0.0516527869037601
"2-HG","C02630","HG-HPLM-6k",20531082.6666667,1441838.34124784,0.0702270973555986,21894539,19021926,20676783,1.71522048740642e-15,"***",20531082.6666667,10914366.6666667,1.88110618725777,0.132104627348771
"2-HG","C02630","HG-HPLM-60k",23414292,1070389.26227658,0.0457152094232266,24049744,22178479,24014653,1.71522048740642e-15,"***",23414292,10914366.6666667,2.14527262232348,0.0980715871994325
"2-HG","C02630","400",15601715.3333333,1425919.03236346,0.0913950166310851,14897793,17242713,14664640,1.71522048740642e-15,"***",15601715.3333333,10914366.6666667,1.4294659332806,0.13064606274575
"2-HG","C02630","6k",28986726,1838752.40716416,0.0634342908255373,26943788,30509008,29507382,1.71522048740642e-15,"***",28986726,10914366.6666667,2.65583216005815,0.168470829624943
"2-HG","C02630","60k",34453700.3333333,1786262.23974122,0.0518452944809834,33414683,36516279,33430139,1.71522048740642e-15,"***",34453700.3333333,10914366.6666667,3.15672923455629,0.1636615567623
"2-HG","C02630","HG-400",17354644.3333333,1945087.8306846,0.112078806878724,19328151,15439279,17296503,1.71522048740642e-15,"***",17354644.3333333,10914366.6666667,1.5900734200488,0.178213531768642
"2-HG","C02630","HG-6k",29879543,887233.45379387,0.0296936754954341,29667134,29117793,30853702,1.71522048740642e-15,"***",29879543,10914366.6666667,2.73763415803635,0.0812904203139474
"2-HG","C02630","HG-60k",33583553.3333333,3064266.59991201,0.0912430727474742,30983434,32805329,36961897,1.71522048740642e-15,"***",33583553.3333333,10914366.6666667,3.07700431541302,0.280755328595522
"2-Oxoadipate","C00322","HPLM-400",699968.666666667,274197.727441956,0.391728573719904,932511,769782,397613,0.00613181343799328,"**",699968.666666667,421396,1.66107097994918,0.650688965823017
"2-Oxoadipate","C00322","HPLM-6k",812086.333333333,204476.26393382,0.251791288118981,579380,963028,893851,0.00613181343799328,"**",812086.333333333,421396,1.92713346432651,0.485235417359966
"2-Oxoadipate","C00322","HPLM-60k",623471.666666667,40069.1009673705,0.06426771753975,669503,604502,596410,0.00613181343799328,"**",623471.666666667,421396,1.47953864456869,0.095086571698285
"2-Oxoadipate","C00322","HG-HPLM-400",421396,461737.391783468,1.09573273543999,942990,256287,64911,0.00613181343799328,"**",421396,421396,1,1.09573273543999
"2-Oxoadipate","C00322","HG-HPLM-6k",769559.333333333,449500.031395253,0.584100551998052,1171297,284076,853305,0.00613181343799328,"**",769559.333333333,421396,1.82621413903628,1.06669268667774
"2-Oxoadipate","C00322","HG-HPLM-60k",545749,185418.748375131,0.339750963126145,511732,379694,745821,0.00613181343799328,"**",545749,421396,1.29509772280705,0.440010698666173
"2-Oxoadipate","C00322","400",0,0,NA,0,0,0,0.00613181343799328,"**",NA,421396,0,0
"2-Oxoadipate","C00322","6k",534780.333333333,151372.514454683,0.283055499650043,360929,606040,637372,0.00613181343799328,"**",534780.333333333,421396,1.26906836641386,0.359216780545338
"2-Oxoadipate","C00322","60k",640354.333333333,335999.229794256,0.524708293992841,636541,978244,306278,0.00613181343799328,"**",640354.333333333,421396,1.51960230598613,0.797347933521571
"2-Oxoadipate","C00322","HG-400",0,0,NA,0,0,0,0.00613181343799328,"**",NA,421396,0,0
"2-Oxoadipate","C00322","HG-6k",534141,230364.87865775,0.43128102627911,351988,793096,457339,0.00613181343799328,"**",534141,421396,1.267551187007,0.546670776793682
"2-Oxoadipate","C00322","HG-60k",740869.666666667,152188.808150709,0.205419137802523,824907,565192,832510,0.00613181343799328,"**",740869.666666667,421396,1.75813170193041,0.361153898353827
"3PG","C00197","HPLM-400",1748234,542390.920721393,0.310250756318315,2330375,1257109,1657218,4.47624076715375e-10,"***",1748234,1297135.66666667,1.34776496007742,0.418145098203343
"3PG","C00197","HPLM-6k",1632152.66666667,228086.600871979,0.139745873979913,1371356,1794368,1730734,4.47624076715375e-10,"***",1632152.66666667,1297135.66666667,1.25827444931872,0.175838662626638
"3PG","C00197","HPLM-60k",1663684,98044.1589285155,0.0589319599927122,1632434,1773544,1585074,4.47624076715375e-10,"***",1663684,1297135.66666667,1.28258288069071,0.0755851230122026
"3PG","C00197","HG-HPLM-400",2023957.33333333,451286.711163018,0.22297244301083,2108699,1536307,2426866,4.47624076715375e-10,"***",2023957.33333333,1297135.66666667,1.56032817949909,0.347910186081552
"3PG","C00197","HG-HPLM-6k",2915609.66666667,315805.425870635,0.108315399513573,2720677,2746179,3279973,4.47624076715375e-10,"***",2915609.66666667,1297135.66666667,2.24772916325637,0.243463682316423
"3PG","C00197","HG-HPLM-60k",3939185.66666667,443641.93186097,0.112622752366069,3899047,3516977,4401533,4.47624076715375e-10,"***",3939185.66666667,1297135.66666667,3.03683397804444,0.342016601086165
"3PG","C00197","400",1795404,519783.328978527,0.28950772582579,1644646,1367664,2373902,4.47624076715375e-10,"***",1795404,1297135.66666667,1.38412969910369,0.400716241435445
"3PG","C00197","6k",1297135.66666667,365583.211986455,0.281838840285626,1700240,987042,1204125,4.47624076715375e-10,"***",1297135.66666667,1297135.66666667,1,0.281838840285626
"3PG","C00197","60k",1557563,336294.951993038,0.215910978877284,1355243,1945767,1371679,4.47624076715375e-10,"***",1557563,1297135.66666667,1.20077108356952,0.259259660061031
