	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
13BPG	180723.0	97227.0	57145.0			94868.0	0.0	0.0	0.0	244199.0		129832.0	82345.0		272602.0	150115.0	228094.0	180731.0	0.0	0.0	0.0	163590.0			0.0	0.0	0.0			310378.0	207784.0	156300.0	241663.0	185117.0	767931.0	1530853.0
2-AB	257332753.0	290922250.0	257820255.0	243982063.0	207813417.0	215252892.0	187841130.0	176002966.0	197493044.0	256948400.0	286347041.0	269329338.0	199950759.0	214830405.0	185522101.0	186983573.0	186630047.0	167816897.0	4596239.0	4374084.0	4270547.0	3435945.0	2889460.0	3203357.0	2067325.0	2364261.0	1360922.0	16022327.0	15715684.0	18295464.0	10849160.0	10702812.0	11677325.0	5630092.0	6371081.0	6966459.0
2-HG	9960975.0	10936793.0	11845332.0	19935505.0	19964717.0	23425036.0	21913355.0	22917336.0	21426755.0	13017801.0	12627522.0	11906567.0	21894539.0	19021926.0	20676783.0	24049744.0	22178479.0	24014653.0	14897793.0	17242713.0	14664640.0	26943788.0	30509008.0	29507382.0	33414683.0	36516279.0	33430139.0	19328151.0	15439279.0	17296503.0	29667134.0	29117793.0	30853702.0	30983434.0	32805329.0	36961897.0
2-Oxoadipate	932511.0	769782.0	397613.0	579380.0	963028.0	893851.0	669503.0	604502.0	596410.0	942990.0	256287.0	64911.0	1171297.0	284076.0	853305.0	511732.0	379694.0	745821.0	0.0	0.0	0.0	360929.0	606040.0	637372.0	636541.0	978244.0	306278.0	0.0	0.0	0.0	351988.0	793096.0	457339.0	824907.0	565192.0	832510.0
3PG	2330375.0	1257109.0	1657218.0	1371356.0	1794368.0	1730734.0	1632434.0	1773544.0	1585074.0	2108699.0	1536307.0	2426866.0	2720677.0	2746179.0	3279973.0	3899047.0	3516977.0	4401533.0	1644646.0	1367664.0	2373902.0	1700240.0	987042.0	1204125.0	1355243.0	1945767.0	1371679.0	1896889.0	1637753.0	1559015.0	3472880.0	4221009.0	4167725.0	3537128.0	3773849.0	3829890.0
5-Oxoproline	1041255774.0	1029304950.0	996350504.0	931560539.0	834164832.0	888547776.0	949347486.0	906679662.0	724161131.0	1156577725.0	1217773069.0	1231845493.0	760735655.0	892549318.0	703564131.0	838076584.0	676922708.0	837754739.0	14845291320.0	14647795116.0	14262763715.0	9893236778.0	9767812378.0	9709283961.0	6934340476.0	7118289274.0	6874009777.0	12565472469.0	12430674127.0	12283640677.0	8155396828.0	8360219543.0	8198244213.0	5840284458.0	6103641051.0	5725118745.0
5M-thioadenosine	1218506515.0	1189162529.0	1227894324.0	1458599342.0	1467172679.0	1383294966.0	1453140261.0	1491744436.0	1359394338.0	1004628303.0	971802222.0	858530643.0	1219010322.0	1184163143.0	1190921997.0	1116820265.0	1185117187.0	1247878706.0	776526908.0	895455788.0	787630678.0	793579696.0	806847430.0	830201107.0	848490517.0	943389744.0	841712795.0	702536586.0	763987804.0	694579974.0	836947424.0	886266378.0	816186429.0	732096867.0	823170161.0	797191551.0
6P-gluconate		153984.0			134817.0	249333.0	74444.0		145423.0		133210.0		786556.0	178706.0	485191.0	892482.0	827354.0	738435.0	77436.0	94209.0	85515.0	218814.0	129689.0	89337.0	227580.0	78841.0	53426.0	350811.0	554926.0	472379.0	1224628.0	1642302.0	1803816.0	2249895.0	2532948.0	2430360.0
Adenosine	55417170.0	55057560.0	56429176.0	25494952.0	25449042.0	25126985.0	42423210.0	42434249.0	37978803.0	55567646.0	57607756.0	63693939.0	44905758.0	44066917.0	56239667.0	33134390.0	33316215.0	38941869.0	60073326.0	59045073.0	53471897.0	36021238.0	38051193.0	35084323.0	33486303.0	36499022.0	39346169.0	36830257.0	38300330.0	36359665.0	22404816.0	22130244.0	23906014.0	31395029.0	19057169.0	24141276.0
a-KG	487505148.0	572971590.0	524388586.0	258301305.0	297736406.0	354339518.0	263983487.0	267646733.0	260334587.0	542681981.0	519462766.0	435652718.0	327949126.0	176683548.0	306276460.0	285279732.0	268806040.0	260757981.0	100645890.0	86269902.0	87736143.0	84095997.0	71949671.0	67298975.0	91315912.0	102250138.0	92979349.0	117824285.0	113165857.0	102683897.0	97199940.0	104939154.0	105142597.0	98862009.0	114789283.0	101026553.0
