"Name","KEGG.ID","Condition","Iso","Nr.C","Exp1","Exp2","Exp3","Norm_Av","Norm_Std","CV","Av","MID1","MID2","MID3","ANOVA","Sig"
"13BPG","C00236","HPLM-400","M0",3,180656.3442584,97191.1399390862,57123.9233116221,99.9631171784444,0,0,99.9631171784444,99.9631171784444,99.9631171784444,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","HPLM-6k","M0",3,NA,NA,94833.0100048467,99.9631171784444,NA,NA,99.9631171784444,0,0,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","HPLM-60k","M0",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735933,"*"
"13BPG","C00236","HG-HPLM-400","M0",3,244108.93251859,NA,129784.114295118,99.9631171784444,0,0,99.9631171784444,99.9631171784444,0,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","HG-HPLM-6k","M0",3,82314.6288405901,NA,272501.456690783,99.9631171784444,1.4210854715202e-14,1.42160980132644e-16,99.9631171784444,99.9631171784444,0,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","HG-HPLM-60k","M0",3,150059.633352422,142808.689622255,180664.341307774,87.5119372738515,21.5660762089355,0.246435822137598,87.5119372738515,99.9631171784444,62.6095774646657,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","400","M0",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735933,"*"
"13BPG","C00236","6k","M0",3,163529.663392217,NA,NA,99.9631171784444,NA,NA,99.9631171784444,99.9631171784444,0,0,0.0144007625735933,"*"
"13BPG","C00236","60k","M0",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735933,"*"
"13BPG","C00236","HG-400","M0",3,NA,NA,310263.523836112,99.9631171784444,NA,NA,99.9631171784444,0,0,99.9631171784444,0.0144007625735933,"*"
"13BPG","C00236","HG-6k","M0",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735933,"*"
"13BPG","C00236","HG-60k","M0",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735933,"*"
"13BPG","C00236","HPLM-400","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HPLM-6k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HPLM-60k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-HPLM-400","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-HPLM-6k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-HPLM-60k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","400","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","6k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","60k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-400","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-6k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HG-60k","M1",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"13BPG","C00236","HPLM-400","M2",3,66.6557415998596,35.860060913827,21.0766883779263,0.0368828215555627,4.9065389333868e-18,1.33030465849671e-16,0.0368828215555627,0.0368828215555627,0.0368828215555627,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","HPLM-6k","M2",3,NA,NA,34.9899951533312,0.0368828215555627,NA,NA,0.0368828215555627,0,0,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","HPLM-60k","M2",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735934,"*"
"13BPG","C00236","HG-HPLM-400","M2",3,90.0674814104687,NA,47.8857048820182,0.0368828215555627,2.94392336003208e-17,7.98182795098026e-16,0.0368828215555627,0.0368828215555627,0,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","HG-HPLM-6k","M2",3,30.3711594099281,NA,100.543309216895,0.0368828215555627,2.5018537765542e-17,6.78324941269811e-16,0.0368828215555627,0.0368828215555627,0,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","HG-HPLM-60k","M2",3,55.366647578133,52.6913082003924,66.658692225584,0.0322887806778905,0.00795711221217654,0.246435822137598,0.0322887806778905,0.0368828215555627,0.0231006989225462,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","400","M2",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735934,"*"
"13BPG","C00236","6k","M2",3,60.3366077827451,NA,NA,0.0368828215555627,NA,NA,0.0368828215555627,0.0368828215555627,0,0,0.0144007625735934,"*"
"13BPG","C00236","60k","M2",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735934,"*"
"13BPG","C00236","HG-400","M2",3,NA,NA,114.476163887724,0.0368828215555627,NA,NA,0.0368828215555627,0,0,0.0368828215555627,0.0144007625735934,"*"
"13BPG","C00236","HG-6k","M2",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735934,"*"
"13BPG","C00236","HG-60k","M2",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0144007625735934,"*"
"13BPG","C00236","HPLM-400","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HPLM-6k","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HPLM-60k","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HG-HPLM-400","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HG-HPLM-6k","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HG-HPLM-60k","M3",3,NA,85232.6190695449,NA,37.3673218364117,NA,NA,37.3673218364117,0,37.3673218364117,0,5.33431217515366e-18,"***"
"13BPG","C00236","400","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","6k","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","60k","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HG-400","M3",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.33431217515366e-18,"***"
"13BPG","C00236","HG-6k","M3",3,207784,156300,241663,100,0,0,100,100,100,100,5.33431217515366e-18,"***"
"13BPG","C00236","HG-60k","M3",3,185117,767931,1530853,100,0,0,100,100,100,100,5.33431217515366e-18,"***"
"2-AB","C02356","HPLM-400","M0",4,257331486.975967,290919906.408171,257817975.60897,99.999272782184,0.00020747166939862,2.07473178180536e-06,99.999272782184,99.9995080206395,99.9991944267484,99.999115899164,7.64631557581438e-07,"***"
"2-AB","C02356","HPLM-6k","M0",4,243980187.212034,207812192.088869,215251315.097968,99.9993030561634,9.48580082862421e-05,9.4858669397892e-07,99.9993030561634,99.9992311779223,99.9994105716807,99.999267418887,7.64631557581438e-07,"***"
"2-AB","C02356","HPLM-60k","M0",4,187839814.907801,176002078.380246,197491529.974306,99.9993429826829,0.000136356730075774,1.3635762596899e-06,99.9993429826829,99.9992998912439,99.9994956790935,99.9992333777115,7.64631557581438e-07,"***"
"2-AB","C02356","HG-HPLM-400","M0",4,256947360.04194,286344423.120716,269328493.463799,99.9994558208916,0.000323701504492515,3.23703266018061e-06,99.9994558208916,99.9995952657966,99.9990857669508,99.9996864299274,7.64631557581438e-07,"***"
"2-AB","C02356","HG-HPLM-6k","M0",4,199949793.558251,214828957.423463,185520791.521753,99.9993791677391,0.000120572086644604,1.20572835199662e-06,99.9993791677391,99.9995171602481,99.9993261770666,99.9992941659024,7.64631557581438e-07,"***"
"2-AB","C02356","HG-HPLM-60k","M0",4,186982194.277923,186629209.008086,167815785.828629,99.9993838350603,0.000149563910869887,1.49564832435946e-06,99.9993838350603,99.9992626506946,99.9995509876747,99.9993378668116,7.64631557581438e-07,"***"
"2-AB","C02356","400","M0",4,4592849.735353,4370858.55235374,4267397.90049268,99.9262600433311,1.00485917355762e-14,1.00560070308033e-16,99.9262600433311,99.9262600433311,99.9262600433311,99.9262600433311,7.64631557581438e-07,"***"
"2-AB","C02356","6k","M0",4,3433411.33564583,2887329.31344804,3200994.84593625,99.9262600433311,0,0,99.9262600433311,99.9262600433311,99.9262600433311,99.9262600433311,7.64631557581438e-07,"***"
"2-AB","C02356","60k","M0",4,2065800.55544079,2362517.59496306,1359918.4567069,99.9262600433311,0,0,99.9262600433311,99.9262600433311,99.9262600433311,99.9262600433311,7.64631557581438e-07,"***"
"2-AB","C02356","HG-400","M0",4,16020826.9710004,15704095.2614282,18291218.9798873,99.9645651146394,0.0338872909315497,0.00033899303110745,99.9645651146394,99.9906378830015,99.9262600433311,99.9767974175854,7.64631557581438e-07,"***"
"2-AB","C02356","HG-6k","M0",4,10841159.8341171,10699496.6009041,11673104.9112047,99.9530479906465,0.0233421906802476,0.000233531554559816,99.9530479906465,99.9262600433311,99.9690231025654,99.9638608260431,7.64631557581438e-07,"***"
"2-AB","C02356","HG-60k","M0",4,5630074.7600488,6366382.96763126,6961321.93615204,99.9507379586122,0.0423969929302214,0.000424178888481816,99.9507379586122,99.9996937891744,99.9262600433311,99.9262600433311,7.64631557581438e-07,"***"
"2-AB","C02356","HPLM-400","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HPLM-6k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HPLM-60k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-HPLM-400","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-HPLM-6k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-HPLM-60k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","400","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","6k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","60k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-400","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-6k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HG-60k","M1",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-AB","C02356","HPLM-400","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","HPLM-6k","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","HPLM-60k","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","HG-HPLM-400","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","HG-HPLM-6k","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","HG-HPLM-60k","M2",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.75193235679486e-07,"***"
"2-AB","C02356","400","M2",4,3389.19517521941,3225.38153233642,3149.0349583535,0.0737384451770112,3.5381555418773e-17,4.79825080849461e-16,0.0737384451770112,0.0737384451770112,0.0737384451770113,0.0737384451770112,6.75193235679486e-07,"***"
"2-AB","C02356","6k","M2",4,2533.61242013726,2130.64287801167,2362.10564526895,0.0737384451770113,0,0,0.0737384451770113,0.0737384451770113,0.0737384451770113,0.0737384451770113,6.75193235679486e-07,"***"
"2-AB","C02356","60k","M2",4,1524.41331175565,1743.36930132646,1003.52272287188,0.0737384451770112,3.67171752872013e-17,4.97938018615129e-16,0.0737384451770112,0.0737384451770112,0.0737384451770112,0.0737384451770112,6.75193235679486e-07,"***"
"2-AB","C02356","HG-400","M2",4,1472.65794591812,11588.5010305323,4242.16959521099,0.0353722444758779,0.0339550295445777,0.959934266193747,0.0353722444758779,0.00919128629641702,0.0737384451770112,0.0231870019542056,6.75193235679486e-07,"***"
"2-AB","C02356","HG-6k","M2",4,8000.00189876623,3315.39909586027,4220.08879526638,0.0469515055228548,0.0233413233718606,0.497136846027199,0.0469515055228548,0.0737384451770113,0.0309768974346206,0.0361391739569326,6.75193235679486e-07,"***"
"2-AB","C02356","HG-60k","M2",4,NA,4697.93607036798,5136.95855049396,0.0737384451770112,3.10316769155909e-17,4.20834435023664e-16,0.0737384451770112,0,0.0737384451770112,0.0737384451770112,6.75193235679486e-07,"***"
"2-AB","C02356","HPLM-400","M3",4,1266.0240325515,2343.5918290008,2279.39102985947,0.000727217816040396,0.000207471669399737,0.285295086043674,0.000727217816040396,0.000491979360494193,0.00080557325161647,0.000884100836010526,3.05854932498698e-08,"***"
"2-AB","C02356","HPLM-6k","M3",4,1875.78796588403,1224.91113104584,1576.90203192603,0.000696943836637398,9.48580082864185e-05,0.136105670643545,0.000696943836637398,0.000768822077663978,0.000589428319272493,0.000732581112975723,3.05854932498698e-08,"***"
"2-AB","C02356","HPLM-60k","M3",4,1315.09219863799,887.619753680626,1514.02569361045,0.000657017317051938,0.000136356730072128,0.207539019951507,0.000657017317051938,0.000700108756073812,0.000504320906546896,0.000766622288535107,3.05854932498698e-08,"***"
"2-AB","C02356","HG-HPLM-400","M3",4,1039.95805975314,2617.87928427266,844.536200831487,0.000544179108403846,0.000323701504497839,0.594843681976878,0.000544179108403846,0.000404734203347108,0.000914233049215499,0.000313570072648932,3.05854932498698e-08,"***"
"2-AB","C02356","HG-HPLM-6k","M3",4,965.441748627626,1447.57653676154,1309.47824737772,0.000620832260939861,0.000120572086639759,0.194210407908295,0.000620832260939861,0.000482839751874923,0.000673822933379257,0.000705834097565402,3.05854932498698e-08,"***"
"2-AB","C02356","HG-HPLM-60k","M3",4,1378.72207677971,837.991913793372,1111.17137073419,0.000616164939709144,0.000149563910878699,0.242733562460239,0.000616164939709144,0.000737349305427865,0.000449012325326892,0.000662133188372676,3.05854932498698e-08,"***"
"2-AB","C02356","400","M3",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.05854932498698e-08,"***"
"2-AB","C02356","6k","M3",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.05854932498698e-08,"***"
"2-AB","C02356","60k","M3",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.05854932498698e-08,"***"
"2-AB","C02356","HG-400","M3",4,27.3710537033206,NA,2.85051751597988,9.32055812183651e-05,0.000109778498700437,1.17781035497482,9.32055812183651e-05,0.000170830702077923,0,1.55804603588074e-05,3.05854932498698e-08,"***"
"2-AB","C02356","HG-6k","M3",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.05854932498698e-08,"***"
"2-AB","C02356","HG-60k","M3",4,17.2399511963822,NA,NA,0.000306210825620296,NA,NA,0.000306210825620296,0.000306210825620296,0,0,3.05854932498698e-08,"***"
"2-AB","C02356","HPLM-400","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HPLM-6k","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HPLM-60k","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HG-HPLM-400","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HG-HPLM-6k","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HG-HPLM-60k","M4",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","400","M4",4,0.0694717791882336,0.0661139244061909,0.0645489710602457,1.51149187821246e-06,4.02619182793238e-21,2.66372045127618e-15,1.51149187821246e-06,1.51149187821246e-06,1.51149187821246e-06,1.51149187821246e-06,4.20541555043127e-05,"***"
"2-AB","C02356","6k","M4",4,0.0519340296148472,0.0436739532241977,0.0484184808851505,1.51149187821246e-06,3.76429675653402e-21,2.49045119646015e-15,1.51149187821246e-06,1.51149187821246e-06,1.51149187821246e-06,1.51149187821247e-06,4.20541555043127e-05,"***"
"2-AB","C02356","60k","M4",4,0.0312474494712557,0.0357356129947446,0.0205702254988065,1.51149187821246e-06,3.10137270561368e-21,2.05186197181653e-15,1.51149187821246e-06,1.51149187821246e-06,1.51149187821245e-06,1.51149187821246e-06,4.20541555043127e-05,"***"
"2-AB","C02356","HG-400","M4",4,NA,0.237541287265534,NA,1.51149187821246e-06,NA,NA,1.51149187821246e-06,0,1.51149187821246e-06,0,4.20541555043127e-05,"***"
"2-AB","C02356","HG-6k","M4",4,0.163984172254275,NA,NA,1.51149187821246e-06,NA,NA,1.51149187821246e-06,1.51149187821246e-06,0,0,4.20541555043127e-05,"***"
"2-AB","C02356","HG-60k","M4",4,NA,0.0962983718693371,0.105297461984001,1.51149187821246e-06,1.49735685222986e-21,9.90648295114018e-16,1.51149187821246e-06,0,1.51149187821246e-06,1.51149187821246e-06,4.20541555043127e-05,"***"
"2-HG","C02630","HPLM-400","M0",5,9948738.48313891,10923357.7437173,11835683.2872689,99.8909516791258,0.0238958036492484,0.000239218900686897,99.8909516791258,99.8771554304565,99.8771554304564,99.9185441764646,0.00228296082924044,"**"
"2-HG","C02630","HPLM-6k","M0",5,19935304.4738286,19944008.3187431,23409764.1434284,99.9433577128543,0.0518915482088277,0.000519209574266221,99.9433577128543,99.9989941254493,99.8962736047954,99.9348054083181,0.00228296082924044,"**"
"2-HG","C02630","HPLM-60k","M0",5,21738584.6037083,22860001.92107,21414202.1827795,99.6312284924624,0.383492486216461,0.00384911931749867,99.6312284924624,99.2024480218037,99.7498222353157,99.9414152202679,0.00228296082924044,"**"
"2-HG","C02630","HG-HPLM-400","M0",5,13001809.3383975,12452705.5986846,11891940.4290214,99.4566343488842,0.728363878936911,0.00732343180226551,99.4566343488842,99.8771554304565,98.6155921857398,99.8771554304564,0.00228296082924044,"**"
"2-HG","C02630","HG-HPLM-6k","M0",5,21719168.094443,19021724.8187665,20603369.2693742,99.6143027727699,0.400840689651,0.00402392707165111,99.6143027727699,99.1990198763397,99.9989423719056,99.6449460700644,0.00228296082924044,"**"
"2-HG","C02630","HG-HPLM-60k","M0",5,24037449.9348748,22050943.4436294,24011168.5153905,99.7864429709429,0.313589812459745,0.00314260938784099,99.7864429709429,99.9488806819513,99.4249580578964,99.985490172981,0.00228296082924044,"**"
"2-HG","C02630","400","M0",5,14889957.2913109,17221531.2634375,14656720.0088824,99.9235171962102,0.0401566644133767,0.00040187400864328,99.9235171962102,99.947403560453,99.8771554304565,99.945992597721,0.00228296082924044,"**"
"2-HG","C02630","6k","M0",5,26835337.7759823,30329901.0337154,29356567.6994667,99.4997749761801,0.0927585193383933,0.000932248533834367,99.4997749761801,99.597494517038,99.4129374305301,99.4888929809722,0.00228296082924044,"**"
"2-HG","C02630","60k","M0",5,33120707.7264378,35932066.5057142,33293488.4031009,99.0371959890603,0.59987670611282,0.00605708491766147,99.0371959890603,99.1202212705049,98.4001313652857,99.5912353313904,0.00228296082924044,"**"
"2-HG","C02630","HG-400","M0",5,19015438.6473939,15128800.6545144,17283857.8321466,98.7660054591175,1.02438535704493,0.0103718415287024,98.7660054591175,98.3820886301744,97.9890359809835,99.9268917661944,0.00228296082924044,"**"
"2-HG","C02630","HG-6k","M0",5,29522309.7167706,28920974.5399957,30605925.176232,99.3442757178699,0.158423194875093,0.00159468870984578,99.3442757178699,99.5118359487325,99.3240612020139,99.1969300028632,0.00228296082924044,"**"
"2-HG","C02630","HG-60k","M0",5,30272854.1996947,32348568.4128588,36283648.8370061,98.1597507101413,0.45056395900865,0.00459010903908194,98.1597507101413,97.7065815225474,98.6076634465663,98.1650071613102,0.00228296082924044,"**"
"2-HG","C02630","HPLM-400","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HPLM-6k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HPLM-60k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-HPLM-400","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-HPLM-6k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-HPLM-60k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","400","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","6k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","60k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-400","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-6k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HG-60k","M1",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,""
"2-HG","C02630","HPLM-400","M2",5,12235.7644343814,13434.4301452007,9648.42122713504,0.109042464737608,0.0238928633041413,0.219115216825255,0.109042464737608,0.122837015797965,0.122837015797965,0.0814533626168944,0.00228185931616095,"**"
"2-HG","C02630","HPLM-6k","M2",5,NA,20707.6428358487,15271.7481342518,0.0844576613467367,0.0272427490292798,0.322561015719297,0.0844576613467367,0,0.103721193923504,0.0651941287699697,0.00228185931616095,"**"
"2-HG","C02630","HPLM-60k","M2",5,174709.833351996,57317.2777454134,12552.8161125082,0.368654943585802,0.38334931776221,1.03985942527579,0.368654943585802,0.797275603630737,0.250104452565575,0.0585847745610951,0.00228185931616095,"**"
"2-HG","C02630","HG-HPLM-400","M2",5,15990.6782709177,174756.631306387,14625.6715867853,0.54320283819858,0.728094962163339,1.34037400205403,0.54320283819858,0.122837015797965,1.38393448299981,0.122837015797965,0.00228185931616095,"**"
"2-HG","C02630","HG-HPLM-6k","M2",5,175309.130670627,72.6629508627819,73390.4046350614,0.385340363139204,0.401023070083095,1.04069832398592,0.385340363139204,0.800697976196834,0.000381995760380846,0.354941117460397,0.00228185931616095,"**"
"2-HG","C02630","HG-HPLM-60k","M2",5,12294.0632689776,127489.401864587,3376.90581822266,0.213338334358,0.313612121354827,1.47002235814103,0.213338334358,0.0511193103301957,0.574833837183274,0.0140618555605307,0.00228185931616095,"**"
"2-HG","C02630","400","M2",5,7835.70761429578,21180.4340918078,7919.99013020123,0.0764802812255314,0.0401523079593405,0.52500209617347,0.0764802812255314,0.0525964323325997,0.122837015797965,0.0540073955460293,0.00228185931616095,"**"
"2-HG","C02630","6k","M2",5,108411.696153661,179045.464048298,150763.409174412,0.500052673634603,0.0927293636209865,0.185439191729521,0.500052673634603,0.402362489467556,0.586860982331178,0.510934549105075,0.00228185931616095,"**"
"2-HG","C02630","60k","M2",5,293869.968135729,583997.363167754,136605.509916909,0.962457626273949,0.599647966906859,0.62303830375196,0.962457626273949,0.879463582329149,1.59927949714634,0.408629799346359,0.00228185931616095,"**"
"2-HG","C02630","HG-400","M2",5,312603.087134197,310369.551184851,12644.9198259443,1.23357073723312,1.02401300253508,0.830121023162335,1.23357073723312,1.61734605205742,2.01025935981111,0.0731067998308343,0.00228185931616095,"**"
"2-HG","C02630","HG-6k","M2",5,144772.145015574,196749.509567646,247692.71349719,0.655495898032827,0.158374253294325,0.24160983122795,0.655495898032827,0.487988307247926,0.675701999693611,0.802797387156943,0.00228185931616095,"**"
"2-HG","C02630","HG-60k","M2",5,710579.518228861,456592.939635435,677997.55582406,1.8398526356156,0.450821535796143,0.245031328634264,1.8398526356156,2.29341756704199,1.39182551601734,1.83431482378748,0.00228185931616095,"**"
"2-HG","C02630","HPLM-400","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","HPLM-6k","M3",5,200.519831690026,NA,NA,0.00100584274985773,NA,NA,0.00100584274985773,0.00100584274985773,0,0,0.601332850210325,""
"2-HG","C02630","HPLM-60k","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","HG-HPLM-400","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","HG-HPLM-6k","M3",5,NA,128.513521099842,NA,0.000675607302330172,NA,NA,0.000675607302330172,0,0.000675607302330172,0,0.601332850210325,""
"2-HG","C02630","HG-HPLM-60k","M3",5,NA,NA,107.573901008209,0.000447951094726245,NA,NA,0.000447951094726245,0,0,0.000447951094726245,0.601332850210325,""
"2-HG","C02630","400","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","6k","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","60k","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","HG-400","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
"2-HG","C02630","HG-6k","M3",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.601332850210325,""
