	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
"1,3-Bisphosphoglyceric acid"	180723	97227	57145			94868	0	0	0	244199		129832	82345		272602	150115	228094	180731	0	0	0	163590			0	0	0			310378	207784	156300	241663	185117	767931	1530853
sec-Butylamine	257332753	290922250	257820255	243982063	207813417	215252892	187841130	176002966	197493044	256948400	286347041	269329338	199950759	214830405	185522101	186983573	186630047	167816897	4596239	4374084	4270547	3435945	2889460	3203357	2067325	2364261	1360922	16022327	15715684	18295464	10849160	10702812	11677325	5630092	6371081	6966459
2-Hydroxyglutarate	9960975	10936793	11845332	19935505	19964717	23425036	21913355	22917336	21426755	13017801	12627522	11906567	21894539	19021926	20676783	24049744	22178479	24014653	14897793	17242713	14664640	26943788	30509008	29507382	33414683	36516279	33430139	19328151	15439279	17296503	29667134	29117793	30853702	30983434	32805329	36961897
Oxoadipic acid	932511	769782	397613	579380	963028	893851	669503	604502	596410	942990	256287	64911	1171297	284076	853305	511732	379694	745821	0	0	0	360929	606040	637372	636541	978244	306278	0	0	0	351988	793096	457339	824907	565192	832510
3-Phosphoglyceric acid	2330375	1257109	1657218	1371356	1794368	1730734	1632434	1773544	1585074	2108699	1536307	2426866	2720677	2746179	3279973	3899047	3516977	4401533	1644646	1367664	2373902	1700240	987042	1204125	1355243	1945767	1371679	1896889	1637753	1559015	3472880	4221009	4167725	3537128	3773849	3829890
Pyroglutamic acid	1041255774	1029304950	996350504	931560539	834164832	888547776	949347486	906679662	724161131	1156577725	1217773069	1231845493	760735655	892549318	703564131	838076584	676922708	837754739	14845291320	14647795116	14262763715	9893236778	9767812378	9709283961	6934340476	7118289274	6874009777	12565472469	12430674127	12283640677	8155396828	8360219543	8198244213	5840284458	6103641051	5725118745
5-Methylthioadenosine	1218506515	1189162529	1227894324	1458599342	1467172679	1383294966	1453140261	1491744436	1359394338	1004628303	971802222	858530643	1219010322	1184163143	1190921997	1116820265	1185117187	1247878706	776526908	895455788	787630678	793579696	806847430	830201107	848490517	943389744	841712795	702536586	763987804	694579974	836947424	886266378	816186429	732096867	823170161	797191551
6-Phosphogluconic acid		153984			134817	249333	74444		145423		133210		786556	178706	485191	892482	827354	738435	77436	94209	85515	218814	129689	89337	227580	78841	53426	350811	554926	472379	1224628	1642302	1803816	2249895	2532948	2430360
Adenosine	55417170	55057560	56429176	25494952	25449042	25126985	42423210	42434249	37978803	55567646	57607756	63693939	44905758	44066917	56239667	33134390	33316215	38941869	60073326	59045073	53471897	36021238	38051193	35084323	33486303	36499022	39346169	36830257	38300330	36359665	22404816	22130244	23906014	31395029	19057169	24141276
alpha-ketoglutarate	487505148	572971590	524388586	258301305	297736406	354339518	263983487	267646733	260334587	542681981	519462766	435652718	327949126	176683548	306276460	285279732	268806040	260757981	100645890	86269902	87736143	84095997	71949671	67298975	91315912	102250138	92979349	117824285	113165857	102683897	97199940	104939154	105142597	98862009	114789283	101026553
Acyl-carnitine	16800596534	18157632176	16952894689	17628713054	16344564298	16310622809	17198489491	16546888189	18306802675	17381020231	18876093486	17530967414	15446395394	16857539757	16571490334	17190419301	17593958897	15786181081	944385758	880345254	836920469	914270263	866870658	855133198	880830939	906927745	902021591	2172926618	2194159843	2185129975	1666751946	1647260577	1711561891	1432464548	1469210482	1491505781
Acyl-choline	436029933	540307212	458713200	611415990	537226406	519071695	578494920	530813676	702857745	460180863	577758554	501659489	591789779	680622568	586263432	668876148	715169656	562026836	411475403	480136704	404445249	454716896	529829296	485629920	524091764	504415175	594151348	404174643	449463449	389110373	581240246	530693719	510870145	642506065	585687994	571782215
Acetyl-CoA	339330	390732	585276	703947	563979	505550	991997	825160	1277873	227885	331296	161431	566116	786572	441969	703813	552761	522103		80855	156958	60624	63649	88119	324666	135888	79586	0	0	0	312614	170282		485255	220355	160340
cis-Aconitic acid	11299417	411210	10119046	9979377	9744739	11274533	9278817	11296254	444135	11453166	367372	11360696	9430988	7558292	8648381	8525137	1154143	9181567	4346441	3745863	4050181	4612344	4184872	3694589	5170872	5529391	5119851	3804911	3997330	4476778	4168588	4388876	5235456	5205074	6234732	7352839
Adenine	4927171	4577774	4628274	3444093	3998320	3826713	4728977	5099517	4719200	4252003	4056396	3600559	4567828	3796079	3990597	3661281	4359251	4392341	17067249	9004026	11418148	17113119	9156481	10225200	10212490	14986599	8109973	9033484	7514521	10220695	6027236	9012103	11896411	5301292	12055631	14417572
ADP	22131114	23031724	23474146	36342485	39161536	46428058	39128511	44050727	45818244	11071903	11456779	14602327	22714573	17322913	23763929	34128155	33306928	40875028	9356090	8426324	10634519	10319368	10391428	12194642	12197282	13906156	15154553	6917744	7582179	6967522	31405154	36272208	29787640	48153381	48881102	58446816
ADP	0.850925051	0.510506334	0.763919867	0.6754453	0.693565823	0.651619187	1.354787842	1.173589889	0.839725255	0.554306936	0.438007848	0.521218102	0.66176682	0.786483235	0.604288109	0.725732206	0.733063263	0.774189166	0.516082523	0.364216929	0.562503111	0.555104129	0.443709518	0.527939148	0.837893969	0.736455795	0.662395116	0.522315546	0.566594971	0.597732954	0.405988747	0.415391509	0.367897436	0.457250476	0.456245345	0.437255236
ADP	16566965	38643682	22063042	40872043	43686548	49068604	21608242	24072074	57077738	12872065	23190758	20410512	23861632	18852131	31769575	35785125	46342030	39170476	11372474	21421110	14872721	11927695	20394535	17037088	11149963	13207859	22513884	9223431	11460360	7870610	67599655	59554186	50933765	85341172	77184655	88422456
L-Alanine	1935820419	2244700354	1937308364	1982341468	1737062895	1812807952	1664950102	1539627338	1684660547	2115724215	2373702427	2182005148	1749592314	1831827787	1596801788	1557692160	1644435364	1499139569	46800726	40818249	35390516	32005053	33359612	35762269	31539505	30814575	33792181	132525649	134788113	123863082	92075546	82618217	81301130	76709146	70048285	72189291
Adenosine monophosphate	3344080	2902594	3373456	2763355	3690403	4785030	4788443	5255011	4869733	2683378	1391990	2011323	4725571	3365165	4323334	4102533	3114613	5691333	2396190	1488143	1872475	2427495	2021560	1988651	2921811	3451433	2775163	1795609	1823098	1963035	2251431	3051641	3163568	2693195	3957501	4921897
AMP	0.128577416	0.064337026	0.109782484	0.05135849	0.065358453	0.06715804	0.165795329	0.14000286	0.089249116	0.134341408	0.053217623	0.071792527	0.137674879	0.152782956	0.109937179	0.087240002	0.068550554	0.107796094	0.132173994	0.064323052	0.099042845	0.130580913	0.086319745	0.086094099	0.20071421	0.182784361	0.121300471	0.135575195	0.136235	0.168405742	0.029105275	0.034947576	0.039072198	0.025573795	0.036938435	0.036821941
L-Arginine	1255737933	1671657103	1277859597	1906396468	1416154780	1305877562	1998961191	1738564087	2519669788	1240438505	1686913261	1499466423	1358785221	1805581707	1473462894	1313000706	2268509838	1340629117	4820957299	8607627196	7613091473	6635369485	11360799180	10517916370	9304932644	7720667534	10262096595	5092900585	6982390101	4742393569	7276710545	4737104938	3676909492	8276422536	6651623532	6394234066
NA	754876	616640	443199	882789	660995	900439	602428	991463	710178	714744	764037	967637	518475	333968	588891	540788	292076	302755	0	0	0	0	0	0	119271	157278		82133		83688			102000		149008	
L-Asparagine	147013331	146114940	159189899	96362629	98092130	96773629	85027757	91774339	69152646	148396156	140706326	153845394	92831852	88297047	89727585	69472370	70137662	82666398	2957378	2712077	2781848	2302741	2494412	3109359	15658991	16130281	12902025	6682896	4857408	6103342	2767377	2929442	4010137	16864281	16343125	18460597
L-Aspartic acid	139519689	136013233	143289407	99246633	111023984	107524875	85909927	99004728	88243321	134747120	135438456	138569888	97427764	86682144	105837990	78571226	74471809	89120291	14001884	15273703	14561880	12630371	10330524	10392764	15163768	20228323	15557225	16199395	14152865	13429056	12326524	13002457	14008444	15230567	19927779	24464885
Adenosine triphosphate	26008300	45115452	30728545	53805223	56464051	71250293	28881652	37535026	54563375	19974318	26156561	28015771	34324134	22025788	39325495	47025824	45435271	52797210	18129058	23135454	18905707	18589968	23419439	23098575	14557071	18882540	22878419	13244377	13382009	11656580	77354740	87320533	80967240	105310729	107137755	133667504
