Protein	Gene	PROTEIN_ORIGINAL	x400x15-1	x400x15-2	x400x15-3	x400x5-1	x400x5-2	x400x5-3	x400xH15-1	x400xH15-2	x400xH15-3	x400xH5-1	x400xH5-2	x400xH5-3	x60kx15-1	x60kx15-2	x60kx15-3	x60kx5-1	x60kx5-2	x60kx5-3	x60kxH15-1	x60kxH15-2	x60kxH15-3	x60kxH5-1	x60kxH5-2	x60kxH5-3
A0A0B4J2F0	PIGBOS1	A0A0B4J2F0	13.14656434	12.97583946	9.218242994	NA	17.20439913	NA	NA	NA	NA	NA	NA	12.47476207	10.8375791	12.29450574	NA	12.13098124	14.11889882	NA	NA	NA	NA	15.70853262	NA	NA
A0AV96	RBM47	A0AV96	12.70368426	13.60702532	12.179415	12.60575831	13.68870814	14.22437185	NA	NA	12.52677035	13.67867876	13.49269759	14.59115957	12.61991171	12.32295068	12.25082583	13.13772303	12.4853019	12.13352373	11.97417815	14.20424272	12.55098703	13.26085697	NA	12.48478501
A0AVT1	UBA6	A0AVT1	15.23355444	15.32623759	15.44335155	15.64326438	15.23042644	15.36218804	15.24705982	15.25376014	15.22269554	15.29542025	15.19459211	14.9830606	15.37611247	15.48123437	15.3397507	15.16830521	15.16552203	15.46794866	15.20468553	15.30598647	15.60912521	14.92537993	15.41113711	15.59097144
A0FGR8	ESYT2	A0FGR8	15.8197714	15.9418625	15.80747391	15.85682123	15.96361276	16.15641414	15.6436521	15.7722132	15.84997999	16.0899641	16.1744704	16.31461646	15.78833529	15.78831108	15.82412981	15.86356621	15.38252438	15.86021289	15.25269082	15.72146988	15.79020072	15.79177231	15.61217232	15.50117369
A0JLT2	MED19	A0JLT2	13.81813359	NA	NA	14.0092235	12.73192502	14.82209305	13.8675982	12.21906773	NA	13.56010008	14.46075106	15.8870955	12.82347264	11.67630809	14.47134626	15.06190067	NA	13.23711906	11.69089873	15.54407419	13.95722743	11.70367753	13.96079986	14.46729133
A0JNW5	UHRF1BP1L	A0JNW5	NA	NA	10.94959768	12.03696774	12.41644648	11.75393606	NA	NA	NA	11.44713353	12.63913953	12.13581285	12.61929784	NA	11.49626546	12.24804239	NA	NA	NA	NA	9.874336796	10.89439543	10.46178209	NA
A0MZ66	SHTN1	A0MZ66	14.28265215	14.2377778	14.18819542	14.26468719	14.15800264	14.37386914	14.42950419	14.60998088	14.58959968	14.71874236	14.58711374	13.64779862	14.53978207	14.45816834	14.12102162	14.49385729	14.54012851	14.41017623	14.19341062	14.06289861	14.63080453	14.68123467	14.50728377	14.70915592
A0PK00	TMEM120B	A0PK00	12.54502756	NA	NA	13.44666306	13.66239587	10.92293994	12.78663977	12.73475134	13.10219229	NA	13.32017899	13.87393919	12.45897408	NA	13.54836234	13.74867839	12.99413307	13.8334361	13.07730961	13.9633671	13.09261396	13.08748574	NA	NA
A1A4S6	ARHGAP10	A1A4S6	14.21461562	14.14147689	14.11668716	14.12778768	14.40548478	14.14663328	13.71738733	NA	13.16151694	14.02460624	14.15587134	13.52347005	14.19939619	13.84168905	14.0032041	14.29435432	13.13535793	13.12598182	13.39910425	14.31821312	13.42971149	12.78324797	14.07885381	13.79280958
A1IGU5	ARHGEF37	A1IGU5	12.45170007	12.48023197	11.74605495	NA	11.24040055	NA	13.59823663	13.89424393	14.00315397	NA	14.51407714	12.13127579	10.14845593	12.55620966	11.93703935	NA	NA	NA	12.22209126	NA	11.23344277	12.24923226	12.33577823	13.86966948
A1KXE4	FAM168B	A1KXE4	9.468542765	9.883732989	9.386149225	8.997140605	12.95255962	13.10155827	9.24660986	11.78910255	9.27422035	9.206152394	9.127796468	14.69603365	11.73658946	9.523444761	9.524652453	13.57271157	11.3238842	9.463148043	8.869167417	12.68767211	11.33766701	9.407542161	9.535095833	14.79945915
A1L0T0	ILVBL	A1L0T0	14.60192987	15.03096811	14.77296215	14.89723981	14.94052472	15.08018722	14.58092013	14.4342868	14.67916974	14.84470234	15.07095972	15.18923196	14.75276095	14.62957794	14.95098789	14.85905727	14.36388955	14.69186187	14.33715989	15.07632702	14.80982963	14.19662975	14.61719305	14.5534626
