	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
sec-Butylamine	0.522047024	0.006712392	1.192737882	0.008752192	0.585813151	0.001476272	1.399354078	0.001762267	6.598535574	0.001098854	5.927844716	0.001763358	4.835164722	0.001272276	4.021623796	0.001024791
2-Hydroxyglutarate	-1.016891676	0.000120268	-1.142954282	0.000188391	-0.903466394	0.000541133	-0.952433085	0.002876283	-0.641538844	0.002527461	-0.515476238	0.012666167	-0.520365469	0.019731158	-0.471398779	0.041000119
3-Phosphoglyceric acid	0.071516867	0.813996567	0.205017996	0.547885366	-0.96071854	0.006336993	-1.129087791	0.000133679	0.095090916	0.645360041	-0.038410213	0.918643479	0.085070313	0.478195057	0.253439564	0.339632319
Pyroglutamic acid	0.249310064	0.138613411	1.064135261	7.25E-05	0.616127424	0.007764456	1.077169623	3.20E-06	-3.019792408	4.63E-07	-3.834617605	0.000145984	-2.908801598	4.55E-05	-3.369843797	1.49E-05
5-Methylthioadenosine	-0.243592665	0.022340304	-0.09860088	0.31317094	-0.324415337	0.015687793	-0.122400576	0.144292617	0.70873917	0.000478306	0.563747385	0.005542294	0.59357499	0.001559697	0.391560229	0.021007313
Adenosine	0.442281202	0.006683639	0.658642307	0.00158368	0.74691214	0.00192985	0.579796252	0.071671515	0.168027473	0.117227252	-0.048333632	0.454270453	0.498650526	0.083965797	0.665766414	0.00924056
alpha-ketoglutarate	1.000852024	0.00829114	-0.061159275	0.52760331	0.8782472	0.016134905	0.084563835	0.398853855	1.46667259	1.14E-05	2.528683889	0.002454523	1.372647839	0.000105279	2.166331204	0.006163631
Acyl-carnitine	-0.003914887	0.947476993	-0.01516665	0.795614666	0.088988788	0.214688064	0.576717136	0.000146508	4.274398366	0.000970904	4.285650128	0.000644488	3.524959951	0.001252368	3.037231604	0.000908575
Acyl-choline	-0.336614037	0.119223972	-0.324229652	0.041019376	-0.338011011	0.080679796	-0.534443569	0.003066727	0.159356171	0.355164303	0.146971786	0.313451939	0.112587672	0.406921181	0.30902023	0.083628019
cis-Aconitic acid	0.054582347	0.957786458	-0.381696292	0.006033401	0.297562901	0.766272054	-0.61397283	0.061278899	0.409948177	0.654955087	0.846226815	0.448106387	0.00522633	0.993854571	0.916762062	0.427523093
Adenine	-0.041700392	0.452877032	0.170568894	0.680526107	-0.059789884	0.614227048	-0.247322119	0.609069706	-1.195124242	0.090976847	-1.407393528	0.082367403	-1.356032126	0.140934811	-1.16849989	0.019223472
ADP	-0.661907365	0.221957671	-0.382065684	0.334873768	-1.069478148	0.00729639	-1.890576827	0.011411829	1.122531743	0.119903157	0.842690061	0.139467415	-0.281733442	0.007767637	0.539365238	0.121452727
L-Alanine	0.323410184	0.040971117	0.355466974	0.104111154	0.504946772	0.004494663	0.837241121	0.000431505	5.668235067	0.000803759	5.636178276	0.002609301	4.424397891	0.000778841	4.092103542	0.001338468
Adenosine monophosphate	-0.632460305	0.001104281	-0.668251454	0.030173145	-1.084588986	0.074852403	-1.05192481	0.089539208	0.704996144	0.002407842	0.740787293	0.02110227	0.157606862	0.676599224	0.124942686	0.697129572
