	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
sec-Butylamine	0.522047024	0.006712392	1.192737882	0.008752192	0.585813151	0.001476272	1.399354078	0.001762267	6.598535574	0.001098854	5.927844716	0.001763358	4.835164722	0.001272276	4.021623796	0.001024791
2-Hydroxyglutarate	-1.016891676	0.000120268	-1.142954282	0.000188391	-0.903466394	0.000541133	-0.952433085	0.002876283	-0.641538844	0.002527461	-0.515476238	0.012666167	-0.520365469	0.019731158	-0.471398779	0.041000119
Adenosine	0.442281202	0.006683639	0.658642307	0.00158368	0.74691214	0.00192985	0.579796252	0.071671515	0.168027473	0.117227252	-0.048333632	0.454270453	0.498650526	0.083965797	0.665766414	0.00924056
Acyl-carnitine	-0.003914887	0.947476993	-0.01516665	0.795614666	0.088988788	0.214688064	0.576717136	0.000146508	4.274398366	0.000970904	4.285650128	0.000644488	3.524959951	0.001252368	3.037231604	0.000908575
Acyl-choline	-0.336614037	0.119223972	-0.324229652	0.041019376	-0.338011011	0.080679796	-0.534443569	0.003066727	0.159356171	0.355164303	0.146971786	0.313451939	0.112587672	0.406921181	0.30902023	0.083628019
cis-Aconitic acid	0.054582347	0.957786458	-0.381696292	0.006033401	0.297562901	0.766272054	-0.61397283	0.061278899	0.409948177	0.654955087	0.846226815	0.448106387	0.00522633	0.993854571	0.916762062	0.427523093
Adenosine monophosphate	-0.632460305	0.001104281	-0.668251454	0.030173145	-1.084588986	0.074852403	-1.05192481	0.089539208	0.704996144	0.002407842	0.740787293	0.02110227	0.157606862	0.676599224	0.124942686	0.697129572
P-Creatine	0.957640075	0.00021449	1.341588912	0.004866769	1.029370873	0.002225161	1.716411985	2.08e-05	2.067305702	2.38e-06	1.683356865	9.22e-06	1.489615102	2.51e-07	0.80257399	0.00224211
D-Gluconate	0.348776551	0.003511633	1.34595515	2.02e-05	0.784984908	0.003843626	1.633299795	0.020790264	1.042613511	0.000126637	0.045434912	0.2212542	1.911635102	0.014025987	1.063320216	0.001356447
Glutathione disulfide	-2.682164931	0.153127548	-1.363899072	0.245197819	-2.249701295	0.110005371	-2.610850692	0.174696008	0.540622318	0.538354586	-0.777643542	0.450337964	0.476722253	0.532953637	0.83787165	0.216167002
Orotidine	-0.788633297	0.000211656	-0.344019665	0.128831466	-1.461035934	0.010371136	-1.148593306	0.005364245	4.881221711	0.000353127	4.436608079	0.000446898	4.298211357	0.005061056	3.985768728	8.11e-05
Phospho-EtA	2.553186605	0.000344436	0.598822993	0.050256211	3.072695304	0.000309228	0.448224256	0.022241977	-1.784685704	0.032515559	0.169677907	0.116047793	-2.038700834	0.008173712	0.585770215	0.000445481
