	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
UBA6	-0.0143453915045251	0.5418833519454308	0.013609274017472616	0.41271689141858886	-0.012449838510246728	0.3905273964074461	-0.0060697634974256325	0.43731402055751384	0.003954354818297429	0.8629068989287157	-0.024000310703699977	0.17631968052810398	-0.0024160437613445756	0.8565651557260429	-0.008796118774165734	0.26292032365405366
ESYT2	0.05058894652534057	0.0076292079975433715	0.02641825650137081	0.20657517236713802	0.015388568784816644	0.4321486935920506	0.005114283643238268	0.3199846684018714	-0.006174766217850074	0.7350841235166135	0.017995923806119585	0.1462625198140501	-0.019501195910763783	0.33578066953867863	-0.009226910769185439	0.25010360633409445
SHTN1	-0.03136362116182752	0.4503330779153915	-0.021667520264857548	0.0528377813551082	0.024745981231173334	0.2841569719664365	-0.013795320391288213	0.39829345624378715	0.014982187153196077	0.12482003935966028	0.005286086256226164	0.8918405914756733	-0.0077785562168198805	0.7379863243333118	0.03076274540564134	0.018530567449392688
ARHGAP10	0.03675430422986732	0.4843775074469033	0.07365250508007623	0.2050291681275256	-0.029351432489980997	0.5518990811419514	0.014628670349429036	0.29955935631406844	0.00352516429876655	0.9551126105614299	-0.03337303655144234	0.22871083580138798	-0.031121599477448556	0.4305186707731711	-0.07510170231685856	0.23184540179117327
FAM168B	-0.030773437238961674	0.9305840696525136	0.028746964539368394	0.9040455666949287	-0.118056018848207	0.5739941812549043	-0.09923188842612	0.4541950788887811	-0.02616963673508816	0.9285244487559828	-0.08569003851341826	0.783713172828111	0.09563378557518018	0.6313020496869508	0.0768096551530928	0.5997772743579028
ILVBL	0.05667683912432944	0.027460172184289065	0.03258462379340747	0.1359322259022175	-0.017359603209472708	0.5067623891040884	0.0023584513514750944	0.8848423140674117	-0.018100379120169995	0.40424615532224417	0.005991836210751862	0.6249654643555	-0.003584402104378703	0.8870844254997063	-0.0233024566653265	0.19202722712424256
NDUFAF8	0.08076280653948208	0.1825310827532443	0.040948616484243354	0.3662029501277997	0.01841801787074412	0.7341828626291681	-0.03099980924315052	0.6313120391026346	-0.041781262458449514	0.40987924254369473	-0.001967072403210892	0.8208074213257253	-0.026089281129365267	0.6509193648041456	0.023328545984529433	0.7049470019845854
PLEKHG3	-0.06884545387137947	0.1472177326329042	-0.04470293334783964	0.207751076612766	0.011092358723431247	0.5495225714871702	-0.01147281152531791	0.6650327281065826	0.01621448721918079	0.4986299266380994	-0.007928033304359077	0.8555701749035589	-0.03157253196439707	0.1276961525893519	-0.009007361715647828	0.7363262617516245
SH3PXD2B	-0.028532851148094358	0.12574101027440035	0.01631208305339142	0.4131843092350553	0.04264620797154116	0.20247579466130972	0.003002396637273371	0.7757993472809843	0.03591336215190534	0.10155860781031836	-0.00893157204958025	0.5735913318516375	-0.04408088010858562	0.19053348727239072	-0.0044370687743179125	0.6019678202900475
NBAS	0.05664794777823444	0.07948639249327612	0.015392713430829022	0.8088635921362883	-0.07902530829646072	0.11337382026941015	-0.04392452555365639	0.18391080483733627	-0.01275377591773838	0.8132064727434671	0.028501458429667153	0.5446859908488668	-0.012086198393893296	0.561570676361454	-0.04718698113669747	0.3033375229464309
TARS3	-0.004252902669313254	0.7985045443703571	0.032138994995852224	0.28138208076000176	0.009739276321903276	0.7409578299991169	-0.024749840856773737	0.13017959578388263	0.036341576374650644	0.032980109192286236	-5.032129051485068e-05	0.9985789059716572	0.0004356508779420732	0.9884537753064644	0.03492476805661889	0.025025887780012048
