	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
SHTN1	-0.0313636211618275	0.4503330779153915	-0.0216675202648575	0.0528377813551082	0.0247459812311733	0.2841569719664365	-0.0137953203912882	0.3982934562437871	0.014982187153196	0.1248200393596602	0.0052860862562261	0.8918405914756733	-0.0077785562168198	0.7379863243333118	0.0307627454056413	0.0185305674493926
FAM168B	-0.0307734372389616	0.9305840696525136	0.0287469645393683	0.9040455666949287	-0.118056018848207	0.5739941812549043	-0.09923188842612	0.4541950788887811	-0.0261696367350881	0.9285244487559828	-0.0856900385134182	0.783713172828111	0.0956337855751801	0.6313020496869508	0.0768096551530928	0.5997772743579028
ILVBL	0.0566768391243294	0.027460172184289	0.0325846237934074	0.1359322259022175	-0.0173596032094727	0.5067623891040884	0.002358451351475	0.8848423140674117	-0.0181003791201699	0.4042461553222441	0.0059918362107518	0.6249654643555	-0.0035844021043787	0.8870844254997063	-0.0233024566653265	0.1920272271242425
NDUFAF8	0.080762806539482	0.1825310827532443	0.0409486164842433	0.3662029501277997	0.0184180178707441	0.7341828626291681	-0.0309998092431505	0.6313120391026346	-0.0417812624584495	0.4098792425436947	-0.0019670724032108	0.8208074213257253	-0.0260892811293652	0.6509193648041456	0.0233285459845294	0.7049470019845854
SH3PXD2B	-0.0285328511480943	0.1257410102744003	0.0163120830533914	0.4131843092350553	0.0426462079715411	0.2024757946613097	0.0030023966372733	0.7757993472809843	0.0359133621519053	0.1015586078103183	-0.0089315720495802	0.5735913318516375	-0.0440808801085856	0.1905334872723907	-0.0044370687743179	0.6019678202900475
TARS3	-0.0042529026693132	0.7985045443703571	0.0321389949958522	0.2813820807600017	0.0097392763219032	0.7409578299991169	-0.0247498408567737	0.1301795957838826	0.0363415763746506	0.0329801091922862	-5.032129051485068e-05	0.9985789059716572	0.000435650877942	0.9884537753064644	0.0349247680566188	0.025025887780012
VWA8	0.0670045417020999	0.0281309085181255	0.0147527754052228	0.4400590554912338	0.0277897293355891	0.089084596655634	0.0100580429870593	0.5935103557133492	-0.0182928303480046	0.3774254221034402	0.0339589359488726	0.0776487144023876	-0.0244846779953433	0.1260053937871908	-0.0067529916468135	0.7129125956941607
GTPBP10	0.0381613804070333	0.0614102079215122	0.056087997406917	0.0946559766793663	-0.0312045945069299	0.3721964001064314	0.0148169256136509	0.40065085442756	-0.0434076127062435	0.1572219809986352	-0.0613342297061273	0.0106930079333846	-0.059414974956217	0.12648668020143	-0.1054364950767978	0.0128473000479964
POTEF	0.127968656782338	0.09939997102263	0.187000145639633	0.0706040384567257	0.0028892577116773	0.9612100738890376	-0.0135187300097822	0.706859296316019	-0.004860630970707	0.9275582857799196	-0.0638921198280021	0.3711262974597673	-0.0202274278889353	0.7195594175283337	-0.0038194401674757	0.927222723948398
TMEM189	0.0394815368152319	0.1343270324488591	0.0339162573248379	0.1189270362991695	-0.0398202380290646	0.047835398474018	-0.0058796875503406	0.6751743429212644	-0.0341048122150124	0.1336779375436919	-0.0285395327246184	0.2096584063171392	0.0036764656955174	0.8219272040631378	-0.0302640847832066	0.0698426785112785
FAM83G	0.0170053833315969	0.8934019663204055	-0.1091473873475553	0.3400630852525443	-0.1219966533717351	0.3239571752092238	-0.0453760953945224	0.7281577213837362	-0.1045320018332207	0.4113489394791092	0.0216207688459318	0.8482652828102133	0.1011858336234785	0.3447974816268089	0.0245652756462658	0.8617177459077545
C5ORF51	-0.0229249653063425	0.3336009837490818	0.0578866111611042	0.0472275181946635	-0.008539858727647	0.799405293879841	-0.0082124948652677	0.628625957409751	0.046684006006585	0.0926343044765882	-0.0341275704608616	0.1200553270397064	-0.0021739381696531	0.9392417702321392	-0.0025013020320323	0.9204366786745424
A6NHQ2	-0.0971214033248276	0.3454620922323648	-0.0444251192988403	0.3128224048164466	0.0843882308869031	0.3960467928502432	-0.003007698809635	0.8137093295042488	0.0081240119346515	0.8209091127836174	-0.0445722720913357	0.6442649414473947	-0.0537386142248074	0.570297441658448	0.0336573154717306	0.0079776831479542
SMCHD1	0.0497447167422415	0.3788193095502176	0.0590086079606742	0.3186044912007695	-0.0141460346387348	0.7578930213323058	-0.012627316419002	0.8405164323839385	0.0063676140310762	0.8503186708907235	-0.0028962771873563	0.9637667160291246	-0.0002697898811337	0.9968733611241796	-0.0017885081008663	0.9536420942971576
CCDC85C	-0.0087791049284224	0.8480441256572026	0.0176009955511223	0.8171890863284783	-0.0314286949598521	0.7240417419615712	0.0477351396938712	0.500571660786607	0.065598754453749	0.424374689665052	0.039218653974204	0.3496515335234906	0.0461379831809637	0.5289570723523727	-0.0330258514727599	0.7024015724215851
MIF4GD	0.1012019989389927	0.5292803505355758	0.1139522726410604	0.3004519917790111	0.0331566320719861	0.8214489245891867	0.2466656890390883	0.1632840505053606	0.0215429817857944	0.9026077192780804	0.0087927080837267	0.767463815160222	0.2298838727395082	0.2671727241398136	0.0163748157724061	0.8117315445400484
MCRIP1	-0.0288589441061346	0.1376461973984304	-0.0540613899049395	0.1243927244344214	-0.0319869594227438	0.7664791990061571	-0.0823300355477528	0.2090806047210475	0.0193197877753644	0.471150191537966	0.0445222335741691	0.1140666117778772	-0.0508258711902826	0.4211810148232677	-0.0004827950652735	0.9963633667330783
E9PRG8	-0.0208483275936811	0.2940801854984585	-0.0204100284551526	0.2483414968809328	0.0492461559075675	0.0401692153640167	0.030806527787007	0.1743484807366988	-0.0223090474573941	0.2134149511358242	-0.0227473465959226	0.2590657661086753	-0.0017825106145752	0.9310580394419068	0.0166571175059852	0.2934505253005529
L0R6Q1	-0.1186544963436333	0.1658262862913124	-0.1131575858552347	0.2228374601937082	-0.1286026880525947	0.2834657800448966	0.0843976232137374	0.4647179845830574	0.0323912988832797	0.432074026265426	0.0268943883948811	0.7799653326149734	0.1045166585067349	0.3795168079567687	-0.1084836527595971	0.3490436341998381
L0R819	-0.0117525652421995	0.6161729095101136	-0.0192659209773016	0.6319204761141901	0.0395245896186178	0.1566336808587447	-0.0065445161534149	0.8216797262334468	-0.0227434682754698	0.5897062831296611	-0.0152301125403675	0.4302223003702884	-0.0248310691880696	0.1575726733366318	0.0212380365839632	0.5217408762410174
UBXN8	0.1041689995010693	0.2592446159426502	-0.0125826535571314	0.9250003815291016	0.0123412321064414	0.8931537509948384	0.0832043222605508	0.2461662512957096	-0.1079966342705023	0.4783898666490378	0.0087550187876985	0.8715484791503031	-0.1613783226329787	0.0910358923951147	-0.2322414127870879	0.0456658160579286
PDLIM1	-0.0336469452576649	0.0101768928567178	-0.0307513286624584	0.1703873043953069	0.0176582658325458	0.0541488346184255	-0.0010685280873814	0.9356728036779568	0.027084987015546	0.1523090149870134	0.0241893704203395	0.2092973334755409	0.0006563957794918	0.9588159054900424	0.0193831896994191	0.0650189040079403
